year,eweek,total_cases,avg_temp_max,avg_temp_med,sum_precip_tot,avg_humid,dengue,dengue symptoms,repellent
2012,46,796,34.66,31.2,968.32,52.7,51,11,12
2012,47,1146,34.97,31.47,1146.26,54.85,44,11,11
2012,48,1184,35.43,31.89,1326.77,57.07,36,11,15
2012,49,1261,35.77,32.19,1486.34,59.22,30,9,20
2012,50,1152,35.71,32.14,1602.72,61.15,32,10,17
2012,51,1271,35.21,31.69,1666.11,62.78,37,14,30
2012,52,1262,34.24,30.81,1962.84,63.33,48,18,22
2013,1,1904,34.04,30.64,1683.15,62.89,17,6,7
2013,2,3356,33.17,29.86,1603.09,65.9,17,5,5
2013,3,4226,33.06,29.75,1528.84,66.38,23,7,5
2013,4,6109,33.28,29.95,1448.83,66.62,23,8,5
2013,5,7627,33.69,30.32,1378.64,66.65,25,8,5
2013,6,9041,34.14,30.72,1333.79,66.53,31,12,5
2013,7,8899,34.48,31.03,1325.58,66.29,44,14,6
2013,8,14361,34.64,31.17,1343.57,66.02,56,17,6
2013,9,19867,34.6,31.14,1361.88,65.85,56,16,5
2013,10,24151,34.35,30.91,1351.93,65.9,60,17,5
2013,11,28768,33.88,30.49,1287.32,66.28,66,17,3
2013,12,29760,33.25,29.92,1163.49,66.9,67,20,4
2013,13,24978,32.55,29.29,1005.86,67.38,85,27,6
2013,14,31343,31.91,28.72,848.12,67.29,100,33,5
2013,15,33380,31.48,28.33,723.69,66.21,90,32,4
2013,16,31280,31.3,28.17,655.98,63.96,74,28,3
2013,17,25245,31.31,28.18,639.62,61.14,58,23,3
2013,18,17373,31.37,28.24,656.51,58.68,48,16,2
2013,19,14103,31.34,28.2,687.13,57.54,49,17,2
2013,20,14227,31.07,27.97,713.38,58.51,40,13,3
2013,21,10613,30.59,27.53,725.79,61.3,27,10,2
2013,22,5460,29.99,26.99,721.68,64.8,29,10,2
2013,23,5654,29.42,26.48,699.78,67.72,28,10,2
2013,24,4679,29.0,26.1,658.91,68.82,23,9,2
2013,25,3363,28.8,25.92,599.26,67.56,17,8,2
2013,26,2422,28.84,25.96,523.13,64.47,13,5,2
2013,27,2113,29.09,26.19,433.45,60.4,12,5,2
2013,28,1446,29.55,26.6,333.35,56.21,11,5,2
2013,29,1494,30.18,27.16,228.78,52.58,9,3,2
2013,30,785,30.94,27.84,136.43,49.64,9,3,1
2013,31,820,31.78,28.6,70.77,47.25,11,4,2
2013,32,1034,32.64,29.38,39.09,45.2,11,3,1
2013,33,809,33.49,30.14,62.27,43.35,12,3,1
2013,34,789,34.25,30.82,145.1,41.75,11,3,1
2013,35,689,34.86,31.38,265.22,40.7,10,3,3
2013,36,701,35.28,31.75,399.14,40.51,11,3,3
2013,37,760,35.42,31.87,525.06,41.47,11,3,2
2013,38,838,35.3,31.77,628.71,43.6,10,2,3
2013,39,809,35.01,31.51,709.36,46.44,11,2,2
2013,40,746,34.71,31.24,770.73,49.35,8,2,2
2013,41,754,34.52,31.07,816.89,51.71,11,3,2
2013,42,807,34.55,31.1,851.72,53.03,13,3,4
2013,43,961,34.78,31.3,878.41,53.41,12,3,3
2013,44,914,35.12,31.61,899.81,53.28,13,3,3
2013,45,898,35.46,31.92,918.7,53.11,15,4,6
2013,46,983,35.72,32.14,937.5,53.33,17,4,4
2013,47,1116,35.84,32.25,956.13,54.05,14,3,4
2013,48,1298,35.84,32.26,971.77,55.06,11,3,5
2013,49,1271,35.75,32.18,981.1,56.05,10,3,5
2013,50,1409,35.6,32.04,980.79,56.74,9,3,4
2013,51,1426,35.43,31.88,968.84,56.91,10,4,7
2013,52,923,35.29,31.75,945.9,56.48,10,4,8
2014,1,2265,35.85,32.26,1125.7,55.02,8,3,7
2014,2,1478,35.37,31.83,873.55,53.81,9,3,5
2014,3,1811,35.7,32.13,828.97,51.63,11,3,4
2014,4,2214,36.15,32.53,788.58,49.34,11,3,6
2014,5,2844,36.55,32.89,764.71,47.62,12,4,6
2014,6,3320,36.74,33.07,770.22,47.17,14,4,5
2014,7,4511,36.56,32.9,815.97,48.62,17,5,3
2014,8,5769,35.99,32.39,895.66,51.91,17,6,3
2014,9,6342,35.2,31.68,983.04,56.22,17,6,3
2014,10,5773,34.39,30.95,1046.78,60.5,24,7,3
2014,11,8600,33.75,30.37,1056.28,63.76,33,10,4
2014,12,11281,33.41,30.07,994.84,65.32,38,11,2
2014,13,16032,33.28,29.95,879.31,65.39,47,15,4
2014,14,20222,33.22,29.9,739.66,64.52,84,29,5
2014,15,27759,33.08,29.77,607.03,63.26,78,29,5
2014,16,28446,32.71,29.44,507.72,62.14,100,36,4
2014,17,33767,32.14,28.93,443.81,61.34,99,33,7
2014,18,29922,31.5,28.35,400.55,60.84,97,35,6
2014,19,28594,30.91,27.81,360.36,60.57,75,27,3
2014,20,23704,30.51,27.45,307.67,60.47,60,22,2
2014,21,19872,30.34,27.31,240.99,60.46,45,13,2
2014,22,14963,30.35,27.32,172.99,60.43,33,10,1
2014,23,10799,30.45,27.41,122.24,60.27,28,10,2
2014,24,8247,30.55,27.49,109.87,59.87,23,9,1
2014,25,5632,30.58,27.53,150.31,59.12,21,7,2
2014,26,5870,30.62,27.56,221.97,57.93,16,6,2
2014,27,4103,30.76,27.68,291.27,56.18,12,5,1
2014,28,3031,31.11,28.0,324.4,53.78,11,4,1
2014,29,3096,31.74,28.56,294.28,50.68,12,4,1
2014,30,2499,32.6,29.34,213.47,47.13,11,3,1
2014,31,2163,33.52,30.17,126.17,43.59,12,4,1
2014,32,1979,34.31,30.88,82.67,40.56,11,4,1
2014,33,1722,34.8,31.32,121.91,38.54,9,3,2
2014,34,1754,34.94,31.44,259.52,37.69,10,3,2
2014,35,1671,34.92,31.42,446.03,37.68,11,3,2
2014,36,1545,34.96,31.47,614.83,38.05,10,3,3
2014,37,1741,35.32,31.79,700.55,38.34,10,3,2
2014,38,1756,36.13,32.52,661.51,38.22,11,3,2
2014,39,1724,37.2,33.48,532.8,37.87,10,3,2
2014,40,1824,38.19,34.37,386.37,37.67,10,3,2
2014,41,1883,38.74,34.86,298.71,38.06,11,3,6
2014,42,1983,38.52,34.67,336.88,39.39,13,4,4
2014,43,2047,37.58,33.82,506.38,41.7,13,3,5
2014,44,1895,36.23,32.6,757.87,44.7,15,3,4
2014,45,1947,34.86,31.37,1030.53,48.04,14,3,4
2014,46,2071,33.83,30.45,1265.01,51.36,14,3,3
2014,47,1838,33.38,30.04,1422.22,54.34,12,3,4
2014,48,2081,33.46,30.11,1498.83,56.7,10,3,4
2014,49,2127,33.94,30.54,1503.13,58.16,10,3,5
2014,50,2307,34.67,31.21,1444.41,58.47,9,3,4
2014,51,2508,35.53,31.98,1335.58,57.53,9,3,6
2014,52,1784,36.36,32.72,1203.04,55.82,12,4,8
2015,1,1102,37.13,33.42,603.66,53.85,6,2,3
2015,2,6105,37.33,33.59,1002.23,53.4,8,2,3
2015,3,8314,37.19,33.47,999.28,54.28,9,3,3
2015,4,13075,36.6,32.94,1074.19,56.85,14,4,2
2015,5,20782,35.74,32.16,1201.11,60.43,19,5,3
2015,6,26978,34.79,31.31,1347.67,64.14,29,7,4
2015,7,34998,33.95,30.55,1481.78,67.16,31,9,4
2015,8,32718,33.34,30.01,1576.06,68.96,48,12,6
2015,9,50509,32.96,29.66,1612.91,69.66,67,16,9
2015,10,60989,32.73,29.46,1578.21,69.58,75,19,11
2015,11,72129,32.6,29.34,1458.62,69.07,86,21,11
2015,12,78028,32.5,29.25,1249.64,68.45,100,25,11
2015,13,80611,32.39,29.15,985.06,67.91,85,22,10
2015,14,61325,32.24,29.02,721.66,67.58,68,20,6
2015,15,69244,32.02,28.82,519.81,67.56,92,25,8
2015,16,69426,31.7,28.53,433.94,67.95,76,22,7
2015,17,56315,31.3,28.17,468.14,68.67,68,19,4
2015,18,52733,30.87,27.78,568.56,69.47,62,16,3
2015,19,46808,30.45,27.41,667.08,70.05,45,13,2
2015,20,35334,30.12,27.11,697.09,70.11,37,11,2
2015,21,23777,29.9,26.91,622.02,69.49,30,10,1
2015,22,17867,29.79,26.81,475.92,68.29,19,6,1
2015,23,10556,29.74,26.77,320.33,66.72,18,5,1
